LAST SEEN   TYPE      REASON              OBJECT                                                                MESSAGE
50m         Normal    SuccessfulRescale   horizontalpodautoscaler/product-service-hpa-default                   New size: 4; reason: cpu resource utilization (percentage of request) above target
50m         Normal    Pulled              pod/product-service-75f4ddbd56-pmflg                                  Container image "ecommerce.azurecr.io/product-service:latest" already present on machine
50m         Normal    Created             pod/product-service-75f4ddbd56-pmflg                                  Created container: product-service
50m         Normal    Pulled              pod/product-service-75f4ddbd56-h85qz                                  Container image "ecommerce.azurecr.io/product-service:latest" already present on machine
50m         Normal    Created             pod/product-service-75f4ddbd56-h85qz                                  Created container: product-service
50m         Normal    Started             pod/product-service-75f4ddbd56-h85qz                                  Started container product-service
50m         Normal    Started             pod/product-service-75f4ddbd56-pmflg                                  Started container product-service
49m         Normal    SuccessfulRescale   horizontalpodautoscaler/product-service-hpa-default                   New size: 5; reason: cpu resource utilization (percentage of request) above target
49m         Normal    ScalingReplicaSet   deployment/product-service                                            Scaled up replica set product-service-75f4ddbd56 from 4 to 5
49m         Normal    SuccessfulCreate    replicaset/product-service-75f4ddbd56                                 Created pod: product-service-75f4ddbd56-q8hg2
49m         Normal    Pulled              pod/product-service-75f4ddbd56-q8hg2                                  Container image "ecommerce.azurecr.io/product-service:latest" already present on machine
49m         Normal    Created             pod/product-service-75f4ddbd56-q8hg2                                  Created container: product-service
49m         Normal    Started             pod/product-service-75f4ddbd56-q8hg2                                  Started container product-service
41m         Normal    Completed           job/k6-load-test-spike-product-service-h1-spike-rep1                  Job completed
38m         Normal    SuccessfulDelete    replicaset/product-service-75f4ddbd56                                 Deleted pod: product-service-75f4ddbd56-pmflg
38m         Normal    Killing             pod/product-service-75f4ddbd56-h85qz                                  Stopping container product-service
38m         Normal    SuccessfulDelete    replicaset/product-service-75f4ddbd56                                 Deleted pod: product-service-75f4ddbd56-h85qz
38m         Normal    SuccessfulDelete    replicaset/product-service-75f4ddbd56                                 Deleted pod: product-service-75f4ddbd56-vzrnz
38m         Normal    Killing             pod/product-service-75f4ddbd56-vzrnz                                  Stopping container product-service
38m         Normal    Killing             pod/product-service-75f4ddbd56-65np9                                  Stopping container product-service
38m         Normal    SuccessfulDelete    replicaset/product-service-75f4ddbd56                                 Deleted pod: product-service-75f4ddbd56-65np9
38m         Normal    Killing             pod/product-service-75f4ddbd56-pmflg                                  Stopping container product-service
34m         Normal    SuccessfulCreate    job/k6-load-test-oscillating-product-service-h1-oscillating-rep1      Created pod: k6-load-test-oscillating-product-service-h1-oscillating-respcql
34m         Normal    Pulling             pod/k6-load-test-oscillating-product-service-h1-oscillating-respcql   Pulling image "grafana/k6:latest"
34m         Normal    Pulled              pod/k6-load-test-oscillating-product-service-h1-oscillating-respcql   Successfully pulled image "grafana/k6:latest" in 1.461s (1.461s including waiting). Image size: 36750082 bytes.
34m         Normal    Created             pod/k6-load-test-oscillating-product-service-h1-oscillating-respcql   Created container: k6
34m         Normal    Started             pod/k6-load-test-oscillating-product-service-h1-oscillating-respcql   Started container k6
33m         Normal    Started             pod/product-service-75f4ddbd56-6hfhz                                  Started container product-service
33m         Normal    SuccessfulCreate    replicaset/product-service-75f4ddbd56                                 Created pod: product-service-75f4ddbd56-6hfhz
33m         Normal    Created             pod/product-service-75f4ddbd56-6hfhz                                  Created container: product-service
33m         Normal    Pulled              pod/product-service-75f4ddbd56-6hfhz                                  Container image "ecommerce.azurecr.io/product-service:latest" already present on machine
33m         Normal    SuccessfulRescale   horizontalpodautoscaler/product-service-hpa-default                   New size: 2; reason: cpu resource utilization (percentage of request) above target
31m         Normal    SuccessfulCreate    replicaset/product-service-75f4ddbd56                                 Created pod: product-service-75f4ddbd56-49m4g
31m         Normal    SuccessfulCreate    replicaset/product-service-75f4ddbd56                                 Created pod: product-service-75f4ddbd56-dcnlg
31m         Normal    Started             pod/product-service-75f4ddbd56-dcnlg                                  Started container product-service
31m         Normal    Pulled              pod/product-service-75f4ddbd56-dcnlg                                  Container image "ecommerce.azurecr.io/product-service:latest" already present on machine
31m         Normal    Pulled              pod/product-service-75f4ddbd56-49m4g                                  Container image "ecommerce.azurecr.io/product-service:latest" already present on machine
31m         Normal    SuccessfulRescale   horizontalpodautoscaler/product-service-hpa-default                   New size: 4; reason: cpu resource utilization (percentage of request) above target
31m         Normal    Created             pod/product-service-75f4ddbd56-dcnlg                                  Created container: product-service
31m         Normal    Created             pod/product-service-75f4ddbd56-49m4g                                  Created container: product-service
31m         Normal    Started             pod/product-service-75f4ddbd56-49m4g                                  Started container product-service
31m         Normal    SuccessfulCreate    replicaset/product-service-75f4ddbd56                                 Created pod: product-service-75f4ddbd56-44jjt
31m         Normal    SuccessfulRescale   horizontalpodautoscaler/product-service-hpa-default                   New size: 5; reason: cpu resource utilization (percentage of request) above target
31m         Normal    Pulled              pod/product-service-75f4ddbd56-44jjt                                  Container image "ecommerce.azurecr.io/product-service:latest" already present on machine
31m         Normal    Started             pod/product-service-75f4ddbd56-44jjt                                  Started container product-service
31m         Normal    Created             pod/product-service-75f4ddbd56-44jjt                                  Created container: product-service
30m         Warning   Unhealthy           pod/product-service-75f4ddbd56-6hfhz                                  Readiness probe failed: Get "http://10.244.2.105:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
22m         Normal    Completed           job/k6-load-test-oscillating-product-service-h1-oscillating-rep1      Job completed
