LAST SEEN   TYPE      REASON                         OBJECT                                                                MESSAGE
53m         Normal    Pulled                         pod/auth-service-88b4cd688-t4m8s                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 205ms (205ms including waiting). Image size: 129968897 bytes.
53m         Normal    Pulling                        pod/auth-service-88b4cd688-kwh2x                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
53m         Normal    Started                        pod/auth-service-88b4cd688-t4m8s                                      Started container auth-service
52m         Warning   Unhealthy                      pod/auth-service-88b4cd688-6l5d2                                      Readiness probe failed: Get "http://10.244.1.75:8001/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
51m         Normal    Killing                        pod/auth-service-88b4cd688-t4m8s                                      Stopping container auth-service
51m         Normal    SuccessfulDelete               replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-t4m8s
50m         Normal    Scheduled                      pod/auth-service-88b4cd688-bgsd8                                      Successfully assigned ecommerce/auth-service-88b4cd688-bgsd8 to aks-userpool-16719200-vmss000011
50m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 5; reason: cpu resource utilization (percentage of request) above target
50m         Normal    Created                        pod/auth-service-88b4cd688-bgsd8                                      Created container: auth-service
50m         Normal    Started                        pod/auth-service-88b4cd688-bgsd8                                      Started container auth-service
50m         Normal    Pulled                         pod/auth-service-88b4cd688-bgsd8                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 165ms (165ms including waiting). Image size: 129968897 bytes.
50m         Normal    Pulling                        pod/auth-service-88b4cd688-bgsd8                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
47m         Warning   BackoffLimitExceeded           job/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1         Job has reached the specified backoff limit
47m         Normal    Killing                        pod/auth-service-88b4cd688-bgsd8                                      Stopping container auth-service
47m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 4; reason: All metrics below target
46m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 3; reason: All metrics below target
46m         Normal    Killing                        pod/auth-service-88b4cd688-kwh2x                                      Stopping container auth-service
46m         Normal    SuccessfulDelete               replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-kwh2x
46m         Normal    Killing                        pod/auth-service-88b4cd688-rdggz                                      Stopping container auth-service
46m         Normal    Killing                        pod/auth-service-88b4cd688-6l5d2                                      Stopping container auth-service
46m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 1; reason: All metrics below target
38m         Warning   FailedGetPodsMetric            horizontalpodautoscaler/auth-service-hpa-custom                       unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: no known available metric versions found
38m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/auth-service-hpa-custom                       invalid metrics (1 invalid out of 1), first error is: failed to get pods metric value: unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: no known available metric versions found
37m         Normal    Scheduled                      pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Successfully assigned ecommerce/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8 to aks-userpool-16719200-vmss000010
37m         Normal    SuccessfulCreate               job/k6-auth-test-gradual-auth-service-h3-gradual-rep1                 Created pod: k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8
37m         Normal    Pulling                        pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Pulling image "grafana/k6:latest"
37m         Normal    Pulled                         pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Successfully pulled image "grafana/k6:latest" in 2.449s (2.449s including waiting). Image size: 36750082 bytes.
37m         Normal    Created                        pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Created container: k6
37m         Normal    Started                        pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Started container k6
36m         Normal    Scheduled                      pod/auth-service-88b4cd688-q9bjs                                      Successfully assigned ecommerce/auth-service-88b4cd688-q9bjs to aks-userpool-16719200-vmss000011
36m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-custom                       New size: 2; reason: pods metric http_requests_per_second above target
36m         Normal    SuccessfulCreate               replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-q9bjs
36m         Normal    Pulling                        pod/auth-service-88b4cd688-q9bjs                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
36m         Normal    Started                        pod/auth-service-88b4cd688-q9bjs                                      Started container auth-service
36m         Normal    Created                        pod/auth-service-88b4cd688-q9bjs                                      Created container: auth-service
36m         Normal    Pulled                         pod/auth-service-88b4cd688-q9bjs                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 258ms (258ms including waiting). Image size: 129968897 bytes.
36m         Normal    SuccessfulCreate               replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-765bl
36m         Normal    Scheduled                      pod/auth-service-88b4cd688-765bl                                      Successfully assigned ecommerce/auth-service-88b4cd688-765bl to aks-userpool-16719200-vmss000011
36m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-custom                       New size: 3; reason: pods metric http_requests_per_second above target
36m         Normal    Pulled                         pod/auth-service-88b4cd688-765bl                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 120ms (120ms including waiting). Image size: 129968897 bytes.
36m         Normal    Pulling                        pod/auth-service-88b4cd688-765bl                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
36m         Normal    Created                        pod/auth-service-88b4cd688-765bl                                      Created container: auth-service
36m         Normal    Started                        pod/auth-service-88b4cd688-765bl                                      Started container auth-service
33m         Normal    ScalingReplicaSet              deployment/auth-service                                               Scaled up replica set auth-service-88b4cd688 from 3 to 4
33m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-custom                       New size: 4; reason: pods metric http_requests_per_second above target
33m         Normal    Pulled                         pod/auth-service-88b4cd688-dgcgx                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 136ms (136ms including waiting). Image size: 129968897 bytes.
33m         Normal    Pulling                        pod/auth-service-88b4cd688-dgcgx                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
33m         Normal    Scheduled                      pod/auth-service-88b4cd688-dgcgx                                      Successfully assigned ecommerce/auth-service-88b4cd688-dgcgx to aks-userpool-16719200-vmss000010
33m         Normal    Created                        pod/auth-service-88b4cd688-dgcgx                                      Created container: auth-service
33m         Normal    Started                        pod/auth-service-88b4cd688-dgcgx                                      Started container auth-service
32m         Normal    ScalingReplicaSet              deployment/auth-service                                               Scaled up replica set auth-service-88b4cd688 from 4 to 5
32m         Normal    Pulling                        pod/auth-service-88b4cd688-lshtd                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
32m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-custom                       New size: 5; reason: pods metric http_requests_per_second above target
32m         Normal    Scheduled                      pod/auth-service-88b4cd688-lshtd                                      Successfully assigned ecommerce/auth-service-88b4cd688-lshtd to aks-userpool-16719200-vmss000011
32m         Normal    Pulled                         pod/auth-service-88b4cd688-lshtd                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 154ms (154ms including waiting). Image size: 129968897 bytes.
32m         Normal    Created                        pod/auth-service-88b4cd688-lshtd                                      Created container: auth-service
32m         Normal    Started                        pod/auth-service-88b4cd688-lshtd                                      Started container auth-service
25m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-custom                       New size: 4; reason: All metrics below target
25m         Normal    SuccessfulDelete               replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-lshtd
25m         Normal    Killing                        pod/auth-service-88b4cd688-lshtd                                      Stopping container auth-service
25m         Normal    ScalingReplicaSet              deployment/auth-service                                               Scaled down replica set auth-service-88b4cd688 from 5 to 4
25m         Normal    SuccessfulDelete               replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-dgcgx
25m         Normal    Killing                        pod/auth-service-88b4cd688-dgcgx                                      Stopping container auth-service
25m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-custom                       New size: 3; reason: All metrics below target
25m         Normal    ScalingReplicaSet              deployment/auth-service                                               Scaled down replica set auth-service-88b4cd688 from 4 to 3
25m         Normal    Completed                      job/k6-auth-test-gradual-auth-service-h3-gradual-rep1                 Job completed
25m         Normal    Killing                        pod/auth-service-88b4cd688-765bl                                      Stopping container auth-service
25m         Normal    ScalingReplicaSet              deployment/auth-service                                               Scaled down replica set auth-service-88b4cd688 from 3 to 2
25m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-custom                       New size: 2; reason: All metrics below target
24m         Normal    Killing                        pod/auth-service-88b4cd688-q9bjs                                      Stopping container auth-service
24m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-custom                       New size: 1; reason: All metrics below target
18m         Normal    SuccessfulCreate               job/k6-auth-test-spike-auth-service-h3-spike-rep1                     Created pod: k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7
18m         Normal    Scheduled                      pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Successfully assigned ecommerce/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7 to aks-userpool-16719200-vmss000010
18m         Normal    Pulling                        pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Pulling image "grafana/k6:latest"
18m         Normal    Pulled                         pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Successfully pulled image "grafana/k6:latest" in 1.396s (1.396s including waiting). Image size: 36750082 bytes.
18m         Normal    Created                        pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Created container: k6
18m         Normal    Started                        pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Started container k6
17m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-custom                       New size: 2; reason: pods metric http_requests_per_second above target
17m         Normal    Scheduled                      pod/auth-service-88b4cd688-lwdn8                                      Successfully assigned ecommerce/auth-service-88b4cd688-lwdn8 to aks-userpool-16719200-vmss000011
17m         Normal    Pulling                        pod/auth-service-88b4cd688-lwdn8                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
17m         Normal    SuccessfulCreate               replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-lwdn8
17m         Normal    Pulled                         pod/auth-service-88b4cd688-lwdn8                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 255ms (255ms including waiting). Image size: 129968897 bytes.
17m         Normal    Created                        pod/auth-service-88b4cd688-lwdn8                                      Created container: auth-service
17m         Normal    Started                        pod/auth-service-88b4cd688-lwdn8                                      Started container auth-service
15m         Normal    Scheduled                      pod/auth-service-88b4cd688-6vj4l                                      Successfully assigned ecommerce/auth-service-88b4cd688-6vj4l to aks-userpool-16719200-vmss000011
15m         Normal    Scheduled                      pod/auth-service-88b4cd688-r8k9r                                      Successfully assigned ecommerce/auth-service-88b4cd688-r8k9r to aks-userpool-16719200-vmss000011
15m         Normal    Scheduled                      pod/auth-service-88b4cd688-h79p4                                      Successfully assigned ecommerce/auth-service-88b4cd688-h79p4 to aks-userpool-16719200-vmss000010
15m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-custom                       New size: 5; reason: pods metric http_requests_per_second above target
15m         Normal    SuccessfulCreate               replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-r8k9r
15m         Normal    Pulled                         pod/auth-service-88b4cd688-6vj4l                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 239ms (239ms including waiting). Image size: 129968897 bytes.
15m         Normal    Pulling                        pod/auth-service-88b4cd688-6vj4l                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
15m         Normal    Started                        pod/auth-service-88b4cd688-6vj4l                                      Started container auth-service
